Admit,Gender,Dept
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,C
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,D
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,E
Admitted,Male,F
Admitted,Male,F
Admitted,Male,F
Admitted,Male,F
Admitted,Male,F
Admitted,Male,F
Admitted,Male,F
Admitted,Male,F
Admitted,Male,F
Admitted,Male,F
Admitted,Male,F
Admitted,Male,F
Admitted,Male,F
Admitted,Male,F
Admitted,Male,F
Admitted,Male,F
Admitted,Male,F
Admitted,Male,F
Admitted,Male,F
Admitted,Male,F
Admitted,Male,F
Admitted,Male,F
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,B
Admitted,Female,B
Admitted,Female,B
Admitted,Female,B
Admitted,Female,B
Admitted,Female,B
Admitted,Female,B
Admitted,Female,B
Admitted,Female,B
Admitted,Female,B
Admitted,Female,B
Admitted,Female,B
Admitted,Female,B
Admitted,Female,B
Admitted,Female,B
Admitted,Female,B
Admitted,Female,B
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
Admitted,Female,C
